ISO;Score;Rank;Country_FR;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
MDV;56,93;100;Maldives;2023;87;-13;59,55;-2,62
MDG;56,66;101;Madagascar;2023;98;-3;58,02;-1,36
MOZ;56,13;102;Mozambique;2023;116;14;49,89;6,24
PRY;55,96;103;Paraguay;2023;96;-7;58,36;-2,4
SEN;55,82;104;Sénégal;2023;73;-31;63,07;-7,25
QAT;55,28;105;Qatar;2023;119;14;49,03;6,25
THA;55,24;106;Thaïlande;2023;115;9;50,15;5,09
GRC;55,2;107;Grèce;2023;108;1;55,52;-0,32
IDN;54,83;108;Indonésie;2023;117;9;49,27;5,56
TCD;53,73;109;Tchad;2023;104;-5;56,18;-2,45
PER;52,74;110;Pérou;2023;77;-33;61,75;-9,01
SWZ;52,66;111;Swaziland;2023;131;20;46,42;6,24
BEN;52,44;112;Bénin;2023;121;9;48,39;4,05
MLI;52,29;113;Mali;2023;111;-2;54,48;-2,19
BDI;52,14;114;Burundi;2023;107;-7;55,74;-3,6
SLV;51,36;115;Salvador;2023;112;-3;54,09;-2,73
KEN;51,15;116;Kenya;2023;69;-47;64,59;-13,44
BOL;51,09;117;Bolivie;2023;126;9;47,58;3,51
SSD;50,62;118;Soudan du Sud;2023;128;10;47,06;3,56
LBN;50,46;119;Liban;2023;130;11;46,58;3,88
GNQ;50,35;120;Guinée Équatoriale;2023;141;21;43,96;6,39
TUN;50,11;121;Tunisie;2023;94;-27;58,49;-8,38
KGZ;49,91;122;Kirghizistan;2023;72;-50;64,25;-14,34
NGA;49,56;123;Nigeria;2023;129;6;46,79;2,77
COD;48,55;124;RD Congo;2023;125;1;47,66;0,89
AGO;48,3;125;Angola;2023;99;-26;57,17;-8,87
ZWE;48,17;126;Zimbabwe;2023;137;11;44,94;3,23
GTM;48,12;127;Guatemala;2023;124;-3;47,94;0,18
MEX;47,98;128;Mexique;2023;127;-1;47,57;0,41
SGP;47,88;129;Singapour;2023;139;10;44,23;3,65
ETH;47,7;130;Éthiopie;2023;114;-16;50,53;-2,83
RWA;46,58;131;Rwanda;2023;136;5;45,18;1,4
PHL;46,21;132;Philippines;2023;147;15;41,84;4,37
UGA;46,08;133;Ouganda;2023;132;-1;46,35;-0,27
KAZ;45,87;134;Kazakhstan;2023;122;-12;48,28;-2,41
LKA;45,85;135;Sri Lanka;2023;146;11;42,13;3,72
DZA;45,74;136;Algérie;2023;134;-2;45,53;0,21
UZB;45,73;137;Ouzbékistan;2023;133;-4;45,74;-0,01
CMR;45,58;138;Cameroun;2023;118;-20;49,1;-3,52
COL;45,23;139;Colombie;2023;145;6;42,43;2,8
HKG;44,86;140;Hong Kong;2023;148;8;41,64;3,22
SOM;44,24;141;Somalie;2023;140;-1;44,01;0,23
BRN;44,2;142;Brunei;2023;144;2;42,53;1,67
TZA;44,02;143;Tanzanie;2023;123;-20;48,28;-4,26
MAR;43,69;144;Maroc / Sahara occidental;2023;135;-9;45,42;-1,73
ARE;42,99;145;Émirats arabes unis;2023;138;-7;44,46;-1,47
JOR;42,79;146;Jordanie;2023;120;-26;48,66;-5,87
KHM;42,02;147;Cambodge;2023;142;-5;43,48;-1,46
